org_code,type,attendances,breaches,admissions
RF4,1,19377,3887,4069
RF4,2,736,27,0
RF4,other,2679,5,0
R1H,1,28180,5232,6484
R1H,2,674,3,0
R1H,other,9765,78,0
AD913,other,4234,0,0
RYX,other,18533,22,0
RQM,1,16021,970,3398
RQM,other,7049,31,0
RJ6,1,5832,501,1885
RJ6,other,4229,39,0
Y02696,other,944,0,0
NX122,other,2615,0,0
RVR,1,12410,691,3033
RVR,2,455,3,5
RJ1,1,12355,1647,3137
RJ1,2,809,0,0
RJ1,other,3031,0,0
Y03082,other,3525,0,0
RQX,1,10377,745,1580
RY9,other,4324,0,0
RYJ,1,9473,2006,3378
RYJ,2,3959,17,9
RYJ,other,10615,138,0
RJZ,1,17247,3730,4577
RJZ,2,2205,10,0
RJZ,other,5225,261,0
RAX,1,8669,781,1650
RAX,2,953,2,0
RJ2,1,17107,3597,4004
RJ2,other,5766,240,0
R1K,1,11931,2508,5364
R1K,other,14846,123,0
RP6,2,8542,97,27
RAT,other,4792,34,0
RAP,1,13809,3162,2640
Y02973,other,785,0,0
Y02585,other,809,2,0
AF003,other,506,0,0
AF002,other,738,0,0
RAL,1,18731,2142,4035
RAL,other,3178,0,0
Y03047,other,1693,0,0
RJ7,1,12896,858,3820
RJ7,other,1414,4,0
F84747,other,2225,0,0
RAS,1,5023,1601,1649
RAS,other,8378,37,0
Y03094,other,2929,0,0
Y02987,other,1040,0,0
E84068,other,3184,0,0
RKE,1,7908,969,1322
RRV,1,11479,922,2075
Y02147,other,9233,0,0
Y03201,other,2215,0,0
NL7,other,4682,0,0
RDD,1,11187,2169,2038
RC1,1,6078,490,1802
RYW,2,414,0,0
M85813,other,3247,0,0
RQ3,1,4656,129,842
RJF,1,5459,970,1574
RJF,other,4583,1,0
RGT,1,9132,2570,2853
RGT,other,3257,11,0
RFS,1,6717,1202,1902
NQ108,other,2596,2,0
RDE,1,6892,951,2340
Y03571,other,5770,7,0
Y02613,other,3959,0,0
RTG,1,11631,1683,3405
RTG,other,3808,0,0
RY8,other,4801,4,0
NNJ,other,1590,0,0
RWH,1,8682,1996,3025
RWH,other,4331,0,0
NAX,other,596,0,0
NQ106,other,670,0,0
RLT,1,6448,322,1136
NTPAL,other,1915,0,0
Y02662,other,1142,0,0
NEH06,other,1905,3,0
RR1,1,18816,2563,5940
RR1,other,3669,55,1248
RY4,other,872,0,0
RQQ,1,3887,919,804
RGQ,1,7287,552,1978
RGQ,other,393,0,151
RGP,1,6503,514,1056
RNQ,1,7326,705,2430
C82038,other,434,0,0
RY5,other,13324,137,38
NJS05,other,4013,118,0
RC9,1,8486,132,2392
RC9,other,3425,0,0
C82009,other,376,0,0
NLO11,other,556,0,0
NLO09,other,454,0,0
RQ8,1,7622,1885,1844
RQ8,other,442,21,0
RD8,1,7326,600,1380
RD8,other,4534,6,0
RM1,1,10653,1184,2808
RM1,other,1095,0,0
Y02646,other,4520,0,0
RGN,1,8127,1477,2214
RGN,other,804,0,0
RNS,1,8658,512,2737
RNS,2,968,8,0
NMH01,other,5182,0,0
NR3,other,4845,30,0
RX1,1,14657,4744,3835
RX1,2,1508,9,0
RX1,other,233,0,0
NLO10,other,2693,13,0
C82010,other,339,0,0
NLO12,other,299,0,0
Y02428,other,2007,0,0
RXK,1,14021,1588,3056
RXK,2,2015,37,30
RXK,other,2666,0,0
RK5,1,8907,709,2554
RK5,other,3482,44,6
RXW,1,10197,2132,2151
RXW,other,1929,0,0
R1D,2,411,0,0
R1D,other,2132,0,0
Y02568,other,3604,0,0
Y02615,other,5167,0,0
RJC,1,5109,229,1620
RJC,other,656,0,0
RAJ,1,8523,1102,2224
Y02961,other,3771,0,0
RNA,1,8444,466,2508
RNA,other,5918,0,0
RQW,1,8240,2487,2014
RQW,other,221,0,0
RCX,1,5174,495,1861
RL4,1,11028,1280,2648
RL4,other,4229,0,0
RWD,1,13704,2579,3539
RRK,1,9608,1397,2747
RKB,1,11639,2888,3650
RKB,2,1943,18,77
RKB,other,2380,9,2
RWE,1,12094,3613,3498
RWE,2,1802,85,10
RWE,other,5566,73,229
RJE,1,15024,4019,4564
RJE,2,415,0,0
RJE,other,4834,50,0
RBK,1,5775,1030,1777
RBK,other,4297,18,0
ATQ02,other,3727,0,0
RWG,1,7693,1907,2906
RWG,other,4169,67,0
RGR,1,5578,917,1888
NLO20,other,3886,32,0
RWP,1,10212,2447,2864
RWP,other,5726,0,0
R1A,2,637,0,0
RLQ,1,4542,873,860
RLQ,other,3129,0,0
REM,1,7032,1701,2283
REM,other,6581,0,0
RCF,1,4665,273,979
RBS,1,4780,200,1082
RFF,1,7039,314,1993
RXL,1,7555,1417,2039
RXL,other,9178,7,0
RMC,1,9387,1377,2131
RAE,1,11165,1047,2747
NNF09,other,1088,0,0
RY2,other,8033,20,0
RWY,1,12781,630,2524
NTP08,other,3554,5,0
RW3,1,12214,1586,3456
RW3,2,3525,6,157
RW3,other,9759,16,186
RLN,1,7035,463,2648
RLN,2,2350,6,27
RLN,other,2455,1,0
RJR,1,5942,820,1721
RJR,other,676,11,0
RXP,1,10957,1073,3075
RXP,other,12761,0,0
RNN,other,1475,20,0
RP5,1,11424,1108,3109
RP5,other,2937,0,238
RJN,1,3982,517,902
RJN,other,352,0,0
RXR,1,9464,1941,3084
RXR,other,6073,317,49
NNF28,other,398,0,0
RR7,1,7192,323,1666
RR7,other,2252,0,0
RCD,1,4103,198,845
RCD,other,884,0,0
RWA,1,11197,1769,1501
RWA,other,1349,4,0
RV9,other,1910,2,0
RXN,1,7573,885,1856
RXN,other,3191,10,126
Y01231,other,2755,0,0
RR8,1,17545,2507,6408
RR8,other,2114,0,0
Y02875,other,3378,0,0
RY1,other,2148,0,0
REP,2,1020,9,107
Y01069,other,2848,0,0
RBT,1,5380,933,1994
RBT,other,2067,0,0
RXF,1,20267,3029,4437
RNL,1,7849,705,1896
RVW,1,6005,541,1537
RVW,other,1687,1,0
RTV,other,1695,0,0
NLO01,other,5822,32,0
RJL,1,11316,843,2432
RJL,other,1739,3,0
RTF,1,14184,741,3754
RTF,other,2099,4,2
RW6,1,22114,3921,4622
RW6,other,4082,60,141
RT2,other,4827,0,0
RQ6,1,7558,1576,2177
RQ6,2,1933,1,45
RQ6,other,9831,0,0
RM3,1,8413,503,2713
RCU,1,4658,125,680
RHQ,1,9146,2400,2765
RHQ,2,1184,0,0
RHQ,other,7176,0,3
RTR,1,10875,815,1971
RTR,other,5552,0,30
RE9,1,5243,391,1257
RE9,other,768,0,0
RVY,1,6225,1020,1989
RVY,other,5056,4,0
RBN,1,8701,2346,3169
RBN,other,5378,14,0
RWJ,1,7963,1177,2306
RMP,1,7182,967,1767
RTD,1,9860,536,2118
RTD,2,1736,26,15
RTD,other,4012,0,3
RFR,1,6538,530,1374
RM2,1,8153,1908,2284
RTX,1,7949,767,2209
RTX,other,1770,43,110
RWW,1,6726,658,2536
RWW,other,3514,6,0
RY7,other,5629,33,0
RBL,1,8088,1286,2296
RBL,other,2322,0,0
AJN,other,1981,0,0
RRF,1,7386,453,1828
RCB,1,9700,2023,3111
RCB,other,6391,40,0
RTK,1,8212,1025,1895
RTK,other,1284,0,0
Y02688,other,3386,0,0
NQT10,other,3226,0,0
RWX,other,5639,0,0
RXH,1,12352,2020,3519
RXH,2,1164,0,12
NLW,other,5066,45,0
RXQ,1,6941,683,2728
RXQ,2,1123,0,418
RXQ,other,3680,62,0
Y02596,other,1931,0,0
Y00058,other,2588,16,0
NLT02,other,1168,0,0
RJ8,other,9454,22,11
RN7,1,8517,1048,2346
RBD,1,3864,308,1340
RDY,other,4051,0,5
RVV,1,12832,2535,3170
RVV,other,5028,74,1157
RXC,1,9240,1550,2584
RDU,1,19970,1406,6026
R1J,other,6174,22,1
RTE,1,11343,1467,3558
RN3,1,6597,934,2276
RN3,other,5846,17,0
RN5,1,9135,1527,2214
RN5,other,803,0,0
NDA57,other,786,7,0
R1F,1,3574,760,803
R1F,other,1639,0,0
RYY,other,10364,6,0
NR5,other,3913,0,0
RWF,1,12056,1269,3097
RWF,other,2071,0,0
RPA,1,9302,1679,2059
RVJ,1,7083,1262,2369
RBZ,1,4242,634,1191
RBZ,other,6594,0,0
L83087,other,75,0,0
RNU,other,2984,75,0
RTH,1,10937,1501,3194
RTH,2,1743,0,100
NLX02,other,666,0,0
RK9,1,8109,1078,2526
RK9,2,306,0,0
RD3,1,5757,523,1547
RHU,1,9098,2119,3031
RHU,2,766,1,0
RHU,other,1903,1,5
RPC,other,861,6,9
RHW,1,8875,476,3084
RHW,2,1347,1,6
REF,1,5981,1044,2528
REF,other,1781,23,8
RH8,1,8399,587,1865
RA2,1,5892,790,1938
RD1,1,6032,1288,2119
RD1,other,940,11,72
RNZ,1,3940,300,1028
RNZ,2,361,10,0
Y02666,other,2204,0,0
RH5,other,7925,86,0
NTP11,other,4290,3,0
RW1,other,2379,20,13
NTPAD,other,3390,3,0
RTP,1,7802,282,2534
RDR,other,8959,83,0
RBA,1,5215,327,1523
AAH,other,280,0,0
RDZ,1,6350,316,1752
RDZ,2,1534,0,10
RA9,1,6350,810,2472
RA9,other,3322,0,0
RHM,1,8228,581,3074
RHM,2,1675,6,18
RA7,1,8821,1173,2688
RA7,2,1967,15,14
RYR,1,11799,515,3246
RYR,other,1012,1,0
RA3,1,4584,545,1014
NDA56,other,2450,17,0
G82071,other,2134,0,0
NDA55,other,3315,7,0
NLX24,other,1666,5,0
RA4,1,3992,454,1057
