org_code,type,attendances,breaches,admissions
RF4,1,19992,3014,4773
RF4,2,721,1,0
RF4,other,2513,15,0
R1H,1,28070,5228,6676
R1H,2,689,0,0
R1H,other,10560,46,0
AD913,other,4364,1,0
RYX,other,18273,192,0
RQM,1,16776,1492,3680
RQM,other,7769,49,0
RJ6,1,6488,1337,2302
RJ6,other,8668,47,0
Y02696,other,1014,0,0
RVR,1,12183,601,3257
RVR,2,485,2,9
RJ1,1,11559,1221,3015
RJ1,2,698,0,0
RJ1,other,2902,1,0
Y03082,other,3773,0,0
RQX,1,9964,440,1599
RY9,other,4604,0,0
RYJ,1,9582,2869,3336
RYJ,2,3957,40,18
RYJ,other,10098,151,0
RJZ,1,16887,3336,4408
RJZ,2,1581,0,0
RJZ,other,5103,179,0
RAX,1,8697,811,1921
RAX,2,1059,0,0
RJ2,1,17862,2248,4292
RJ2,other,5891,149,0
R1K,1,11272,4847,4664
R1K,other,15495,123,0
RP6,2,7937,45,18
RAT,other,5080,37,0
RAP,1,13579,1926,2712
Y02973,other,736,0,0
RAL,1,17528,3215,3643
RAL,other,2954,0,0
Y03047,other,1749,0,0
RJ7,1,12763,1402,3875
RJ7,other,1307,1,0
F84747,other,2219,0,0
RAS,1,5361,1532,2053
RAS,other,7670,38,0
Y03094,other,3122,0,0
E84068,other,3054,0,0
RRV,1,10973,1323,1828
Y02147,other,9437,0,0
Y03201,other,2303,0,0
RKE,1,8052,811,1348
NL7,other,5035,0,0
8J094,other,2551,0,0
RDD,1,11470,995,2504
RC1,1,5996,595,1814
RC1,other,84,0,0
M85813,other,3093,0,0
RQ3,1,4775,439,1074
RJF,1,5319,754,1821
RJF,other,4315,0,3
RGT,1,9385,944,3204
RGT,other,3134,3,21
RFS,1,6760,316,1906
NQ108,other,2563,3,0
RDE,1,7538,1495,2316
RDE,other,3971,0,0
Y03571,other,5771,9,0
RTG,1,11021,1782,3314
RTG,other,4015,31,52
RY8,other,5306,4,0
NNJ,other,1711,10,0
Y03007,other,2406,0,0
NQ106,other,597,3,0
RLT,1,6680,593,1177
NEH06,other,1852,0,0
RR1,1,18926,4465,6138
RR1,other,3542,24,1198
RY4,other,931,0,0
RGQ,1,7195,699,1863
RGQ,other,657,1,150
RGP,1,6397,423,1213
RGP,other,6,0,0
RNQ,1,7215,1122,2330
C82038,other,368,0,0
RY5,other,12574,93,4
RC9,1,8691,188,2485
RC9,other,3557,0,0
C82009,other,323,0,0
NLO11,other,619,13,0
NLO09,other,563,1,0
RQ8,1,8176,794,2371
RQ8,other,236,2,0
RD8,1,7404,717,1469
RD8,other,4377,23,0
Y02652,other,3471,0,0
RM1,1,8464,1823,2617
RM1,other,2364,46,0
RGN,1,11392,2029,2998
RGN,other,777,1,0
RNS,1,8698,1255,2600
RNS,2,985,2,0
NMH01,other,5694,0,0
NR3,other,4233,62,0
RX1,1,14199,2731,3697
RX1,2,1404,2,0
RX1,other,198,3,0
NLO10,other,3000,48,0
C82010,other,335,0,0
NLO12,other,311,2,0
Y02428,other,2192,0,0
RXK,1,14266,2146,3030
RXK,2,1111,9,34
RXK,other,2427,0,0
RK5,1,8105,874,2509
RK5,other,4042,64,4
RXW,1,10133,2265,2220
R1D,other,2017,1,0
C83023,other,632,0,0
Y02615,other,5459,0,0
RJC,1,5607,408,1763
RJC,other,698,0,0
RAJ,1,8205,1022,2397
Y02470,other,1854,0,0
Y02961,other,2729,0,0
RNA,1,8563,1586,2290
RNA,other,4494,16,0
RQW,1,8312,2467,1528
RCX,1,5258,340,2061
RL4,1,10884,1476,2579
RL4,other,7856,132,0
RWD,1,12605,2940,3481
RRK,1,9693,1683,2801
RKB,1,11362,3319,4131
RKB,2,2113,26,103
RKB,other,2256,28,2
RWE,1,17762,3083,4352
RWE,2,1632,25,8
RJE,1,13705,4684,4463
RJE,2,398,0,0
RJE,other,6304,121,0
RBK,1,6235,1752,2089
RBK,other,3407,1,0
ATQ02,other,3482,0,0
RWG,1,7713,2125,2859
RWG,other,3848,5,0
RGR,1,5743,635,2103
RWP,1,9817,2716,2921
RWP,other,5453,0,0
RLQ,1,4596,998,1156
RLQ,other,394,0,0
REM,1,7034,2081,2723
REM,other,6365,0,0
RCF,1,5538,379,1128
RBS,1,4623,230,925
NNF70,other,432,0,0
RFF,1,6932,373,1907
RXL,1,7098,2662,2182
RXL,other,9512,4,0
RMC,1,8490,1455,2286
RMC,other,921,4,33
RAE,1,10863,1432,2780
NNF09,other,2175,22,0
RY2,other,7454,116,0
RWY,1,12732,1118,2977
RW3,1,12539,1940,3811
RW3,2,3422,15,172
RW3,other,9375,7,136
RLN,1,7637,741,2603
RLN,2,2298,18,23
RLN,other,2882,0,0
RJR,1,6155,931,2023
RJR,other,319,7,0
RXP,1,10874,546,3254
RXP,other,6330,0,0
RP5,1,10847,861,3130
RP5,other,2870,0,451
RJN,1,4059,670,874
RJN,other,138,0,0
RXR,1,8706,1758,3031
RXR,other,8261,179,41
RR7,1,7317,375,1622
RR7,other,2373,0,0
RCD,1,4065,284,959
RCD,other,887,1,0
NNF99,other,248,0,0
RWA,1,10857,1637,2996
RWA,other,1240,1,0
RV9,other,707,3,0
RXN,1,5501,1746,1617
RXN,other,6531,163,323
Y01231,other,2500,0,0
RR8,1,16952,2618,4868
RR8,other,2799,2,0
Y02875,other,3827,0,0
RY1,other,1976,0,0
REP,2,959,3,96
Y01069,other,3158,0,0
RBT,1,5556,422,1850
RBT,other,1467,0,0
RXF,1,19453,2811,3959
RNL,1,7821,769,2030
RNL,other,2027,26,0
RVW,1,3711,386,1541
RVW,other,9085,10,438
RTV,other,1787,1,0
NLO01,other,6269,130,0
RJL,1,11159,1577,2615
RJL,other,1364,2,0
RTF,1,7803,696,3997
RTF,other,8493,57,28
Y02572,other,712,0,0
RW6,1,22676,3812,5836
RW6,other,4073,188,115
RT2,other,2974,0,0
AC008,other,973,0,0
RQ6,1,7610,2361,2444
RQ6,2,1584,29,55
RQ6,other,10203,0,0
RM3,1,8413,890,2716
RM3,other,42,0,0
AXT02,other,3049,0,0
RCU,1,4610,130,705
RHQ,1,9172,1747,2915
RHQ,2,1137,0,2
RHQ,other,6887,0,3
NQT5F,other,1729,11,0
RTR,1,10518,338,2074
RTR,other,1983,0,14
RE9,1,4930,168,1201
RE9,other,699,3,0
RVY,1,6195,1352,1763
RVY,other,3281,4,0
RBN,1,9042,1549,3683
RBN,other,5381,40,0
RWJ,1,8019,1625,2535
RMP,1,7192,838,1658
RMP,other,4508,2,0
RTD,1,10631,875,2195
RTD,2,1816,50,24
RTD,other,4171,0,12
RFR,1,7759,1413,1522
NNF76,other,3217,0,0
RM2,1,8227,1093,2594
RTX,1,7033,879,1973
RTX,other,1785,55,77
RWW,1,6814,952,2551
RWW,other,3863,16,0
RY7,other,3360,14,0
RBL,1,7651,1291,2504
RBL,other,2545,6,0
NNF18,other,203,2,0
AJN,other,541,0,0
RRF,1,7320,1043,2237
RCB,1,9112,2648,3435
RCB,other,6867,49,0
RTK,1,8417,821,2111
RTK,other,1223,0,0
NTV0B,other,3359,3,0
NQT10,other,3223,29,0
RWX,other,2392,0,0
Y04538,other,3307,0,0
RXH,1,11981,2046,3365
RXH,2,1034,2,32
NLW,other,4758,9,0
RXQ,1,7003,1587,2617
RXQ,2,1171,0,473
RXQ,other,3744,26,0
NLT02,other,1056,0,0
RN7,1,8365,679,2427
RN7,other,1883,0,0
RBD,1,3671,159,1237
RBD,other,4172,0,0
Y00751,other,3809,22,0
RVV,1,13457,5076,4411
RVV,other,3802,14,320
RXC,1,9859,1213,2784
DD401,other,1124,0,0
RDU,1,19468,1809,5908
R1J,other,5892,42,1
RTE,1,11814,1642,3675
RN3,1,6123,1501,2079
RN3,other,7904,282,0
RN5,1,9236,1217,2254
RN5,other,1110,0,0
NDA57,other,715,6,0
R1F,1,3792,424,876
R1F,other,686,0,0
RYY,other,6597,21,0
RWF,1,12109,1431,3794
RWF,other,2183,0,0
RPA,1,10012,1624,2257
RVJ,1,7213,1444,2381
RBZ,1,3821,715,1218
RBZ,other,3920,0,0
L83087,other,153,0,0
RNU,other,2861,38,0
RTH,1,11000,2164,2854
RTH,2,1562,0,73
NQT5H,other,705,1,0
RK9,1,8286,1445,3009
RK9,2,225,0,0
RK9,other,3904,23,0
RD3,1,5586,496,1697
RD3,other,1461,1,0
RHU,1,9193,2760,2937
RHU,2,784,1,0
RHU,other,2033,2,6
RPC,other,880,2,31
RHW,1,9645,1055,3106
RHW,2,1511,7,9
REF,1,6303,2047,2587
REF,other,10622,53,37
RH8,1,8537,890,1927
RH8,other,931,0,0
RA2,1,5850,260,2016
RD1,1,6009,1301,2163
RD1,other,886,16,117
RNZ,1,3822,339,1042
RNZ,2,247,0,0
Y02666,other,1327,0,0
RH5,other,7144,38,0
RYF,other,1265,5,0
NTP11,other,4052,0,0
RW1,other,651,0,2
NTPAD,other,4280,16,0
RTP,1,8159,485,2423
RDR,other,8977,50,19
RBA,1,5887,432,1905
AAH,other,170,1,0
RDZ,1,6588,436,1931
RDZ,2,1389,5,7
RA9,1,6434,936,2586
RA9,other,2796,0,0
RHM,1,8580,731,2958
RHM,2,1469,44,13
RHM,other,1697,7,6
RA7,1,9004,932,2741
RA7,2,1872,64,8
Y02584,other,367,0,0
RYR,1,11599,623,3318
RYR,other,1963,3,0
RA3,1,3897,368,1026
G82071,other,2324,0,0
NTV0W,other,3484,6,0
NLX24,other,1402,2,0
RA4,1,4138,94,1285
