org_code,type,attendances,breaches,admissions
RF4,1,18825,1724,4271
RF4,2,689,16,0
RF4,other,2594,2,0
R1H,1,27117,3889,6570
R1H,2,704,2,0
R1H,other,9374,93,0
AD913,other,4091,1,0
RYX,other,17656,38,0
RQM,1,15084,1110,3198
RQM,other,6636,20,0
RJ6,1,5617,597,1658
RJ6,other,3982,30,0
Y02696,other,754,0,0
NX122,other,2238,0,0
RVR,1,11602,457,2957
RVR,2,454,2,6
RJ1,1,11956,1685,3086
RJ1,2,697,0,0
RJ1,other,2752,6,0
Y03082,other,3614,0,0
RQX,1,9684,339,1522
RY9,other,4459,0,0
RYJ,1,9228,2037,3307
RYJ,2,3869,63,11
RYJ,other,10566,89,0
RJZ,1,16316,2572,4394
RJZ,2,1995,6,0
RJZ,other,5030,180,0
RAX,1,8210,799,1557
RAX,2,1017,0,0
RJ2,1,16375,2918,4413
RJ2,other,5336,143,0
R1K,1,11421,2179,5113
R1K,other,15490,62,0
RP6,2,8474,197,46
RAT,other,4889,10,0
RAP,1,12147,911,2656
Y02973,other,668,0,0
Y02585,other,793,3,0
AF003,other,522,0,0
AF002,other,657,0,0
RAL,1,17629,2066,3636
RAL,other,3006,0,0
Y03047,other,1721,0,0
RJ7,1,12469,1003,3685
RJ7,other,1345,0,0
F84747,other,2471,0,0
RAS,1,4913,2041,1481
RAS,other,7772,25,0
Y03094,other,3121,0,0
E84068,other,2789,0,0
RKE,1,7513,545,1262
RRV,1,11302,1066,1973
Y02147,other,8860,0,0
Y03201,other,2417,0,0
NL7,other,4176,0,0
RDD,1,10678,1272,2080
RC1,1,5864,508,1686
RYW,2,160,7,0
M85813,other,3267,0,0
RQ3,1,3823,16,790
RJF,1,5376,1220,1598
RJF,other,4508,1,3
RGT,1,9040,1558,3087
RGT,other,3210,0,0
RFS,1,6673,896,1871
NQ108,other,3014,4,0
RDE,1,7171,1322,2401
Y03571,other,5436,9,0
Y02613,other,3747,0,0
RTG,1,10971,1313,3242
RTG,other,4051,0,0
RY8,other,5081,1,0
NNJ,other,1618,0,0
RWH,1,8540,2243,2961
RWH,other,4307,0,0
NAX,other,689,0,0
NQ106,other,750,2,0
RLT,1,6056,278,1087
NTPAL,other,1878,0,0
Y02662,other,1585,0,0
NEH06,other,1877,0,0
RR1,1,18017,1688,5605
RR1,other,3558,27,1199
RY4,other,845,0,0
RQQ,1,3875,677,930
RGQ,1,7442,667,1961
RGQ,other,602,0,145
RGP,1,6789,718,1175
RNQ,1,7365,951,2337
C82038,other,512,0,0
RY5,other,14094,187,52
