org_code,type,attendances,breaches,admissions
RF4,1,21582,3940,5258
RF4,2,717,0,0
RF4,other,2619,10,0
R1H,1,28102,5196,8134
R1H,2,844,5,0
R1H,other,13940,138,0
AD913,other,4651,0,0
E84069,other,1790,0,0
RYX,other,19270,156,0
RQM,1,18745,1130,4013
RQM,other,9030,68,0
RJ6,1,6742,2018,1852
RJ6,other,11108,88,0
Y02696,other,1229,0,0
RVR,1,13029,954,3396
RVR,2,505,0,6
RVR,other,1111,0,0
RJ1,1,13813,2462,3436
RJ1,2,867,0,0
RJ1,other,3185,24,0
Y03082,other,4044,172,0
RQX,1,10988,586,1670
RY9,other,5112,2,0
RYJ,1,10149,3155,3294
RYJ,2,4313,41,10
RYJ,other,10833,83,0
RJZ,1,16701,4528,4552
RJZ,other,7607,375,0
Y02973,other,820,0,0
RAX,1,9578,878,2274
RAX,2,1203,0,0
RJ2,1,13259,2125,4561
RJ2,other,12458,411,0
R1K,1,12031,3398,5963
R1K,other,17395,246,0
RP6,2,8007,204,11
RAT,other,5540,20,0
RAP,1,8486,2058,2647
RAP,2,431,1,0
RAP,other,6471,225,0
RAL,1,20604,2507,4459
RAL,other,3565,0,0
Y03047,other,1787,0,0
RJ7,1,13625,1011,4007
RJ7,other,1485,0,0
F84747,other,2500,0,0
RAS,1,5472,2616,1895
RAS,other,8849,177,0
Y03094,other,3268,0,0
Y03218,other,3402,0,0
E84068,other,3154,0,0
Y02692,other,3665,0,0
RRV,1,12138,1665,2008
Y02147,other,10302,0,0
RKE,1,9229,1073,1466
NL7,other,5827,0,0
8J094,other,3048,0,0
RDD,1,13381,1654,3307
RC1,1,6891,582,2034
RC1,other,143,0,0
M85813,other,3229,0,0
RQ3,1,5154,251,1104
RJF,1,5897,518,1842
RJF,other,4960,1,3
RGT,1,10313,1565,2808
RGT,other,3605,3,19
RFS,1,5871,286,1922
RFS,other,1704,0,0
NQ108,other,2995,1,0
RDE,1,8812,339,2574
RDE,other,5469,17,0
Y03571,other,6300,2,0
RTG,1,11898,2040,3537
RTG,other,5030,12,115
RY8,other,6807,0,0
NNJ,other,1902,5,0
RWH,1,9423,1450,3077
RWH,other,4614,3,0
Y03007,other,2519,0,0
NQ106,other,710,0,0
RLT,1,7359,543,1356
NEH06,other,2172,2,0
RR1,1,21213,3870,7052
RR1,other,3793,35,1223
RY4,other,1026,17,0
RGQ,1,7443,717,1990
RGQ,other,1189,0,159
RGP,1,5942,473,1500
RGP,other,1179,0,0
RNQ,1,7701,931,2666
C82038,other,258,0,0
RY5,other,11706,224,3
NJS05,other,4465,116,0
RC9,1,9241,199,2646
RC9,other,3585,0,0
C82009,other,338,0,0
NLO11,other,680,4,0
NLO09,other,570,17,0
RQ8,1,8952,1230,2165
RQ8,other,370,4,0
RD8,1,7465,689,1869
RD8,other,5331,13,0
RM1,1,9771,1654,2941
RM1,other,2521,35,0
RGN,1,12954,2096,3712
