org_code,type,attendances,breaches,admissions
RF4,1,18788,4082,4074
RF4,2,561,5,0
RF4,other,2685,17,0
R1H,1,27396,5099,6424
R1H,2,700,5,0
R1H,other,10317,143,0
AD913,other,3836,1,0
RYX,other,17369,0,0
RQM,1,15154,1199,3415
RQM,other,6936,76,0
RJ6,1,5904,707,1919
RJ6,other,3794,80,0
Y02696,other,1116,0,0
NX122,other,2795,0,0
RVR,1,11929,623,2950
RVR,2,461,3,6
RJ1,1,11554,1219,2910
RJ1,2,797,0,0
RJ1,other,2788,1,0
Y03082,other,3909,0,0
RQX,1,9822,583,1569
RY9,other,4251,0,0
RYJ,1,9174,2386,3220
RYJ,2,3760,54,10
RYJ,other,10124,133,0
RJZ,1,16688,3608,4504
RJZ,2,2189,11,0
RJZ,other,5203,358,0
RAX,1,8328,459,1541
RAX,2,925,1,0
RJ2,1,16802,2908,3516
RJ2,other,4940,149,0
R1K,1,11715,2652,5141
R1K,other,16850,150,0
RP6,2,8717,320,27
RAT,other,4707,62,0
RAP,1,13604,3730,2153
Y02973,other,728,0,0
Y02585,other,912,9,0
AF003,other,482,0,0
AF002,other,608,0,0
RAL,1,17771,2013,3785
RAL,other,3040,0,0
Y03047,other,2276,0,0
RJ7,1,12447,1416,3424
RJ7,other,1290,0,0
F84747,other,2446,0,0
RAS,1,4958,1745,1632
RAS,other,8174,25,0
Y03094,other,2910,0,0
Y02987,other,1157,0,0
E84068,other,3283,0,0
RKE,1,7878,1251,1261
RRV,1,11254,1359,2005
Y02147,other,8878,0,0
Y03201,other,2398,0,0
NL7,other,4877,3,0
RDD,1,10967,2450,2104
RC1,1,5820,357,1769
RYW,2,470,0,0
M85813,other,3093,0,0
RQ3,1,4639,164,919
RJF,1,5517,1134,1605
RJF,other,4212,0,0
RGT,1,8889,1103,2918
RGT,other,3130,0,0
RFS,1,6540,632,1887
NQ108,other,2409,6,0
RDE,1,6735,1773,2385
Y03571,other,5756,2,0
Y02613,other,4067,0,0
RTG,1,11008,1772,3461
RTG,other,3839,1,0
RY8,other,4309,0,0
NNJ,other,1774,0,0
RWH,1,8035,2314,2714
RWH,other,4242,4,0
NAX,other,460,0,0
NQ106,other,589,0,0
RLT,1,5691,800,1023
NTPAL,other,2139,0,0
Y02662,other,1237,0,0
NEH06,other,1635,0,0
RR1,1,18088,2564,5629
RR1,other,3384,31,1228
RY4,other,819,0,0
RQQ,1,3700,669,831
RGQ,1,7051,358,2103
RGQ,other,380,0,132
RGP,1,5886,289,1038
RNQ,1,6904,1005,2061
C82038,other,375,0,0
RY5,other,13309,79,29
NJS05,other,3366,61,0
RC9,1,7983,128,2251
RC9,other,3432,0,0
C82009,other,304,0,0
NLO11,other,549,0,0
NLO09,other,434,2,0
RQ8,1,7194,1596,1892
RQ8,other,492,6,0
RD8,1,6906,476,1394
RD8,other,4605,0,0
RM1,1,9072,1443,2692
RM1,other,874,0,0
Y02646,other,4780,0,0
RGN,1,7832,2032,2209
RGN,other,677,1,0
RNS,1,8299,1063,2755
RNS,2,931,3,0
NMH01,other,5473,0,0
NR3,other,4672,194,0
RX1,1,13901,3392,3700
RX1,2,1464,2,0
RX1,other,172,0,0
NLO10,other,2544,7,0
C82010,other,333,0,0
NLO12,other,266,0,0
Y02428,other,1984,0,0
RXK,1,13407,1569,3175
RXK,2,2344,39,28
RXK,other,2948,0,0
RK5,1,8139,859,2446
RK5,other,3753,94,18
RXW,1,9737,1852,2108
RXW,other,1865,0,0
R1D,2,420,0,0
R1D,other,1996,0,0
Y02568,other,3769,0,0
Y02615,other,5590,0,0
RJC,1,5065,250,1557
RJC,other,613,0,0
RAJ,1,8234,1031,2279
NLO02,other,452,2,0
Y02961,other,4124,0,0
RNA,1,7824,529,2310
RNA,other,6470,0,0
RQW,1,7781,1984,1851
RQW,other,246,0,0
RCX,1,4854,617,1858
RL4,1,10811,1613,2740
RL4,other,4414,0,0
RWD,1,13130,2555,3409
RRK,1,9044,1195,2744
RKB,1,11187,2972,3577
