org_code,type,attendances,breaches,admissions
RF4,1,21187,4044,5048
RF4,2,785,0,0
RF4,other,2620,10,0
R1H,1,26939,5008,7643
R1H,2,876,4,0
R1H,other,13502,122,0
AD913,other,4635,1,0
E84069,other,1663,0,0
RYX,other,18711,102,0
RQM,1,17999,1190,4099
RQM,other,8404,103,0
RJ6,1,6234,2000,1741
RJ6,other,10969,118,0
Y02696,other,1221,0,0
RVR,1,12523,655,3283
RVR,2,474,0,7
RVR,other,989,0,0
RJ1,1,13570,2531,3390
RJ1,2,857,0,0
RJ1,other,3234,11,0
Y03082,other,3887,84,0
RQX,1,10547,489,1550
RY9,other,4605,0,0
RYJ,1,9773,2876,3222
RYJ,2,4269,86,11
RYJ,other,10542,86,0
RJZ,1,16105,3716,4454
RJZ,other,7310,327,0
Y02973,other,655,0,0
RAX,1,9157,812,2190
RAX,2,1198,10,0
RJ2,1,12925,2227,4514
RJ2,other,12045,263,0
R1K,1,11606,2796,5727
R1K,other,17159,286,0
RP6,2,8244,252,12
RAT,other,5194,26,0
RAP,1,8214,1453,2620
RAP,2,455,3,0
RAP,other,6086,68,0
RAL,1,19472,1791,4478
RAL,other,3550,1,0
Y03047,other,1715,0,0
RJ7,1,13225,946,3823
RJ7,other,1538,1,0
F84747,other,2563,0,0
RAS,1,5313,2177,1996
RAS,other,8518,89,0
Y03094,other,3375,0,0
Y03218,other,3307,0,0
E84068,other,2940,0,0
Y02692,other,3696,0,0
RRV,1,11577,1963,1819
Y02147,other,9991,0,0
RKE,1,8699,815,1428
NL7,other,5847,0,0
8J094,other,2953,0,0
RDD,1,12776,511,3193
RC1,1,6574,682,1882
RC1,other,148,0,0
M85813,other,3298,0,0
RQ3,1,4981,250,1071
RJF,1,5842,773,1790
RJF,other,4894,0,1
RGT,1,10166,1714,3239
RGT,other,3344,1,50
RFS,1,5847,410,1936
RFS,other,1627,0,0
NQ108,other,3062,3,0
RDE,1,8252,370,2365
RDE,other,4911,7,0
Y03571,other,6396,0,0
RTG,1,11300,1694,3263
RTG,other,4651,4,97
RY8,other,6947,0,0
NNJ,other,1860,0,0
RWH,1,9293,1794,2859
RWH,other,4399,7,0
Y03007,other,2476,0,0
NQ106,other,713,0,0
RLT,1,7262,612,1380
NEH06,other,2349,1,0
RR1,1,20385,4038,6609
RR1,other,3727,34,1238
RY4,other,1024,18,0
RGQ,1,7304,792,1894
RGQ,other,1038,0,130
RGP,1,5915,399,1403
RGP,other,980,14,0
RNQ,1,7795,1301,2605
C82038,other,248,0,0
RY5,other,11239,169,2
NJS05,other,4477,143,0
RC9,1,9173,179,2590
RC9,other,3407,0,0
C82009,other,350,0,0
NLO11,other,638,8,0
NLO09,other,593,0,0
RQ8,1,8456,1082,2101
RQ8,other,421,7,0
RD8,1,7415,1004,1811
RD8,other,5171,53,0
RM1,1,9223,2072,2781
RM1,other,2567,57,0
RGN,1,12283,1425,3459
RGN,other,899,1,0
RNS,1,8530,659,2616
RNS,2,1100,7,0
RNS,other,1213,0,0
NMH01,other,5239,0,0
NR3,other,4600,1,0
RX1,1,12583,2881,3774
RX1,2,1715,20,0
RX1,other,2746,32,0
NLO10,other,2164,8,0
C82010,other,355,0,0
NLO12,other,336,1,0
Y02428,other,2207,0,0
RXK,1,13812,3391,3120
RXK,2,1298,27,27
RXK,other,3148,0,0
RK5,1,8750,318,2589
RK5,other,4446,50,16
RXW,1,9459,2909,2364
RXW,other,2003,14,155
R1D,other,2728,6,0
C83023,other,598,0,0
Y02615,other,5600,0,0
RJC,1,6017,272,1791
RJC,other,844,0,0
RAJ,1,7366,446,2099
RAJ,other,1322,3,239
Y02961,other,2778,0,0
RNA,1,8944,1908,2161
RNA,other,5731,10,0
RQW,1,8882,1960,2131
RCX,1,5707,461,2123
RL4,1,11548,1669,2646
RL4,other,8278,58,0
RWD,1,12683,3491,3551
RWD,other,1185,0,0
RRK,1,10035,1488,3942
RKB,1,12368,2157,4175
RKB,2,1941,14,91
RKB,other,6196,27,5
RWE,1,18353,3613,4346
RWE,2,1880,30,18
RJE,1,16045,3904,5753
RJE,2,442,0,0
RJE,other,6557,64,0
RBK,1,6654,1627,2007
RBK,other,3566,19,0
ATQ02,other,3200,0,0
RWG,1,8316,1758,2947
RWG,other,4366,30,0
RGR,1,5777,377,1935
RGR,other,384,0,0
RWP,1,10488,3453,2990
RWP,other,6615,3,0
RLQ,1,5061,1280,1256
RLQ,other,439,0,0
REM,1,7683,1894,3399
REM,other,6800,1,0
RCF,1,4889,390,1383
RCF,2,627,0,0
RCF,other,227,0,0
RBS,1,5046,223,956
RFF,1,7901,362,2042
RXL,1,6439,2449,2354
RXL,other,11740,18,0
RMC,1,9057,1400,2143
RMC,other,960,15,39
RAE,1,10614,1760,3664
RAE,other,1127,6,111
NNF09,other,2567,12,0
RY2,other,12349,171,0
RWY,1,12882,673,2777
RLN,1,8300,1262,2736
RLN,2,2456,85,26
RLN,other,2911,24,0
RJR,1,6202,1106,1694
RJR,other,645,1,0
RXP,1,11067,1857,3523
RXP,other,7481,0,0
RP5,1,11565,765,3006
RP5,other,3294,0,310
Y01231,other,2647,10,0
Y01069,other,3313,0,0
RJN,1,3983,179,902
RJN,other,252,0,0
RXR,1,9561,2315,3209
RXR,other,7810,193,31
NNF94,other,2358,2,0
RR7,1,7703,353,1646
RR7,other,2410,0,0
RCD,1,4381,257,887
RCD,other,785,0,0
RWA,1,11437,1794,2985
RV9,other,775,0,0
RXN,1,6252,1703,2001
RXN,other,7415,277,364
RR8,1,16795,2044,5068
RR8,other,3753,2,0
RY1,other,2238,0,0
REP,2,1120,13,87
R0A,1,21200,3559,6532
R0A,2,3356,15,180
R0A,other,9514,42,166
RBT,1,5820,1458,2203
RBT,other,2280,23,0
RXF,1,18118,2286,4000
RXF,other,3697,38,149
Y02532,other,1728,0,0
Y03645,other,438,0,0
RNL,1,8215,861,2006
RNL,other,2034,3,0
RVW,1,3492,266,1404
RVW,other,10560,7,680
RTV,other,1640,9,0
NLO01,other,4224,108,0
RJL,1,12238,1461,2791
RTF,1,8636,361,3938
RTF,other,8974,56,26
Y02572,other,723,0,0
Y02533,other,277,0,0
RW6,1,22822,3067,6041
RW6,other,9878,129,108
RT2,other,3529,0,0
AC008,other,1345,2,0
RQ6,1,7737,2448,2390
RQ6,2,1952,12,45
RQ6,other,10161,0,0
RM3,1,8489,822,2480
RM3,other,555,0,0
AXT02,other,3656,0,0
RCU,1,4890,82,551
RCU,other,70,0,0
RHQ,1,9091,1911,2751
RHQ,2,1141,0,0
RHQ,other,7438,0,0
NQT5F,other,1992,11,0
RTR,1,11011,427,2306
RTR,other,2147,0,8
RE9,1,5310,198,1147
RE9,other,414,0,0
RVY,1,6782,864,2272
RVY,other,2997,25,0
RBN,1,9674,2062,4515
RWJ,1,7553,1307,2812
RWJ,other,1008,0,0
RMP,1,7195,824,1847
RMP,other,5005,0,0
RTD,1,9757,751,2252
RTD,2,1927,88,28
RTD,other,8015,4,1
RFR,1,8407,665,1491
NNF76,other,3205,0,0
RTX,1,7999,966,2041
RTX,2,94,0,0
RTX,other,2202,60,96
RWW,1,6929,1032,2337
RWW,other,3044,12,0
RY7,other,4674,21,0
RBL,1,7802,1810,2355
RBL,other,3136,2,0
AJN,other,504,0,0
RRF,1,7374,415,2635
RRF,other,650,0,0
RCB,1,9697,1653,3646
RCB,other,7545,69,0
RTK,1,8335,1493,2099
RTK,other,296,1,11
NTV0B,other,3661,0,0
NQT10,other,3596,0,0
RWX,other,2574,0,0
Y04538,other,3577,0,0
RXH,1,13343,2042,3370
RXH,2,1119,19,20
Y02676,other,1695,2,0
RXQ,1,6450,1086,2908
RXQ,2,1216,0,973
RXQ,other,5106,53,0
RN7,1,9069,989,2669
RN7,other,2052,4,0
Y00751,other,4354,12,0
RVV,1,13970,3144,4182
RVV,other,4091,7,345
RXC,1,10348,459,3131
RXC,other,426,0,0
Y02816,other,1406,0,0
NDJ,other,1636,0,0
RDU,1,20796,2093,6511
RN5,1,9759,1545,2291
RN5,other,1131,26,0
NDA57,other,667,4,0
Y03051,other,1893,0,0
R1F,1,4151,965,874
R1F,other,114,0,0
RYY,other,7402,33,0
RWF,1,13013,945,4043
RWF,other,2356,6,0
RPA,1,7798,2011,2192
RPA,other,2591,2,0
RNU,other,3334,72,0
RTH,1,11429,1189,3141
RTH,2,1426,0,86
RTH,other,499,2,13
RHU,1,9960,2335,3363
RHU,2,787,2,0
RHU,other,2295,3,1
RPC,other,1044,8,21
RHW,1,9313,378,2865
RHW,2,1523,30,5
RHW,other,944,0,0
RA2,1,6344,225,2197
NTP11,other,4753,8,0
RW1,other,867,0,2
NTPAD,other,4919,34,0
RTP,1,8044,254,2464
RTP,other,644,0,0
RDR,other,10676,68,5
RHM,1,8656,820,3087
RHM,2,1510,71,14
RHM,other,2651,4,7
RYR,1,12284,565,3651
G82071,other,2948,0,0
NTV0W,other,3688,17,0
NLW,other,4988,2,0
NLT02,other,1542,0,0
RBD,1,4201,308,1295
RBD,other,5045,1,0
DD401,other,1379,2,0
R1J,other,7219,105,1
RTE,1,12532,836,3703
RN3,1,6867,923,2165
RN3,other,4771,129,0
RVJ,1,7747,988,2513
RBZ,1,4108,795,1071
RBZ,other,1134,0,0
L83087,other,171,0,0
NQT5H,other,839,5,0
RD3,1,5944,1002,1695
RD3,other,2112,1,0
REF,1,6621,1224,2663
REF,other,13183,83,31
RH8,1,7590,778,1865
RH8,other,4385,2,0
RD1,1,6366,1038,2350
RD1,other,970,2,26
RNZ,1,4273,373,1189
RNZ,2,286,0,0
Y02666,other,1566,0,0
RH5,other,8741,52,0
RYF,other,1663,9,0
RBA,1,6401,464,2074
AAH,other,265,0,0
RDZ,1,6770,308,1814
RDZ,2,1405,1,9
RDZ,other,340,0,0
RA9,1,6599,926,2479
RA9,other,3613,1,0
RA7,1,9385,764,2818
RA7,2,1921,45,7
RK9,1,8672,1276,2983
RK9,2,235,0,0
RK9,other,4641,51,0
Y02584,other,562,0,0
RA3,1,4297,234,1035
AXG,other,3468,71,0
NLX24,other,1847,0,0
RA4,1,4624,68,1341
