org_code,type,attendances,breaches,admissions
RF4,1,18988,3025,4631
RF4,2,715,19,0
RF4,other,2359,7,0
R1H,1,26810,4162,6668
R1H,2,712,0,0
R1H,other,10214,109,0
AD913,other,4236,0,0
RYX,other,15455,56,0
RQM,1,15872,1085,3529
RQM,other,7412,7,0
RJ6,1,6291,1414,2072
RJ6,other,8366,31,0
Y02696,other,826,0,0
RVR,1,11464,723,3411
RVR,2,494,0,7
RJ1,1,11716,1417,3057
RJ1,2,759,0,0
RJ1,other,2803,4,0
Y03082,other,3723,0,0
RQX,1,9642,375,1553
RY9,other,4592,4,0
RYJ,1,9414,2458,3333
RYJ,2,3909,54,13
RYJ,other,10220,129,0
RJZ,1,16300,3048,4354
RJZ,2,1497,6,0
RJZ,other,4917,89,0
RAX,1,8187,799,1887
RAX,2,1039,0,0
RJ2,1,17059,1640,4284
RJ2,other,5859,87,0
R1K,1,11541,3672,4905
R1K,other,14681,89,0
RP6,2,8100,157,11
RAT,other,5123,10,0
RAP,1,13008,2566,2440
Y02973,other,695,0,0
RAL,1,17351,2303,3726
RAL,other,3055,0,0
Y03047,other,1720,0,0
RJ7,1,12505,1367,3811
RJ7,other,1260,3,0
F84747,other,2224,0,0
RAS,1,5230,1478,1992
RAS,other,7392,13,0
Y03094,other,3455,0,0
E84068,other,2573,0,0
RRV,1,10858,1204,1768
Y02147,other,9161,0,0
Y03201,other,2218,0,0
RKE,1,7853,716,1266
NL7,other,4664,0,0
8J094,other,2610,0,0
RDD,1,11388,862,2644
RC1,1,5899,269,1806
M85813,other,2993,0,0
RQ3,1,3801,86,754
RJF,1,5479,940,1736
RJF,other,4464,0,4
RGT,1,9451,1022,3254
RGT,other,3151,5,15
RFS,1,7034,558,1905
NQ108,other,3019,7,0
RDE,1,7418,1310,2319
RDE,other,4360,0,0
Y03571,other,5590,7,0
RTG,1,10723,1720,3321
RTG,other,4288,0,37
RY8,other,5376,2,0
NNJ,other,1661,4,0
RWH,1,8281,1910,2819
RWH,other,4507,0,0
Y03007,other,2398,0,0
NQ106,other,750,10,0
RLT,1,6487,305,1122
NEH06,other,1721,0,0
RR1,1,18439,3710,5857
RR1,other,3461,53,1214
RY4,other,819,0,0
RGQ,1,7350,830,2002
RGQ,other,643,0,160
RGP,1,7098,335,1227
RGP,other,22,0,0
RNQ,1,7275,1261,2341
C82038,other,433,0,0
RY5,other,14008,79,6
NJS05,other,3891,62,0
RC9,1,8333,156,2510
RC9,other,3266,0,0
C82009,other,405,0,0
NLO11,other,663,2,0
NLO09,other,601,2,0
RQ8,1,7783,1294,2179
RQ8,other,161,5,0
RD8,1,7156,425,1463
RD8,other,4545,7,0
Y02652,other,3692,0,0
RM1,1,8733,1634,2620
RM1,other,2734,78,0
RGN,1,11300,1639,3130
RGN,other,755,0,2
RNS,1,8777,1008,2601
RNS,2,1060,2,0
NMH01,other,5860,0,0
