org_code,type,attendances,breaches,admissions
RF4,1,15473,3433,4989
RF4,2,743,2,0
RF4,other,7184,73,0
R1H,1,25099,4820,7715
R1H,2,833,7,0
R1H,other,12650,51,0
AD913,other,4436,0,0
E84069,other,1438,0,0
RYX,other,17436,78,0
RQM,1,16715,1073,3809
RQM,other,7517,19,0
RJ6,1,6093,2313,1924
RJ6,other,9643,55,0
Y02696,other,775,0,0
RVR,1,11737,679,3329
RVR,2,460,0,5
RVR,other,1915,0,0
RJ1,1,12819,1793,3398
RJ1,2,750,0,0
RJ1,other,3290,4,0
Y03082,other,3799,78,0
RQX,1,9696,393,1566
RY9,other,4051,1,0
RYJ,1,9501,2513,3263
RYJ,2,4008,32,12
RYJ,other,9863,28,0
RJZ,1,15338,3990,4384
RJZ,other,6523,264,0
Y02973,other,772,2,0
RAX,1,8748,964,2061
RAX,2,1147,1,0
RJ2,1,11960,2363,4306
RJ2,other,11471,184,0
R1K,1,11123,2011,5891
R1K,other,15488,77,0
RP6,2,8034,27,10
RAT,other,4492,16,0
RAP,1,7590,1541,2475
RAP,2,443,0,0
RAP,other,5071,44,0
RAL,1,18378,1937,4324
RAL,other,3120,0,0
RJ7,1,12596,1240,3870
RJ7,other,1323,0,0
RAS,1,5084,2349,1875
RAS,other,7486,15,0
Y03094,other,3360,0,0
Y03218,other,3142,0,0
E84068,other,2242,0,0
Y02692,other,2752,0,0
RRV,1,11221,1386,1893
Y02147,other,8782,88,0
RKE,1,8159,814,1320
NL7,other,4884,0,0
8J094,other,2930,0,0
RDD,1,12181,447,3318
RC1,1,6290,819,1908
RC1,other,141,0,0
M85813,other,2926,0,0
RQ3,1,3663,48,870
RGT,1,9662,1550,3373
RGT,other,3552,2,19
RFS,1,5961,657,2075
RFS,other,1574,0,0
NQ108,other,3145,2,0
Y03571,other,5714,0,0
RY8,other,6042,0,0
NNJ,other,1696,8,0
RWH,1,8850,1976,2889
RWH,other,4109,6,0
RDE,1,15569,1304,4590
RDE,other,5499,32,162
Y03007,other,2297,0,0
NQ106,other,734,0,0
RLT,1,6818,822,1326
NEH06,other,1859,1,0
RY4,other,941,2,0
RGP,1,6647,627,1419
RGP,other,754,6,0
RNQ,1,7495,805,2596
C82038,other,188,0,0
RY5,other,12161,214,0
NJS05,other,4062,92,0
RC9,1,8603,319,2754
RC9,other,3183,0,0
C82009,other,358,0,0
NLO11,other,625,0,0
NLO09,other,465,5,0
RQ8,1,8235,1055,2402
RQ8,other,409,1,0
RD8,1,6945,588,1802
RD8,other,4398,4,0
RM1,1,9426,2143,2842
RM1,other,2834,53,0
RGN,1,12395,1905,3583
RGN,other,735,0,0
RNS,1,8288,889,2988
RNS,2,1120,4,0
RNS,other,1159,0,0
NMH01,other,5597,0,0
NR3,other,4343,0,0
RX1,1,11859,3421,3837
RX1,2,1749,32,0
RX1,other,2680,23,0
NLO10,other,2177,14,0
C82010,other,384,0,0
NLO12,other,281,0,0
Y02428,other,2043,0,0
RXK,1,13242,2984,3151
RXK,2,1254,15,30
RXK,other,2837,0,0
RK5,1,8536,565,2747
RK5,other,4290,40,11
RXW,1,9372,2812,2472
RXW,other,1856,15,45
R1D,other,2487,2,0
C83023,other,688,0,0
Y02615,other,5441,0,0
RJC,1,5583,215,1720
RJC,other,806,0,0
RAJ,1,7030,949,2134
RAJ,other,1454,7,258
Y02961,other,2236,0,0
RNA,1,8360,1622,2298
RNA,other,4972,25,0
RQW,1,8373,1544,2191
RCX,1,6051,1087,2211
RL4,1,10965,1170,2592
RL4,other,7876,52,0
RWD,1,12383,3812,3711
RWD,other,1359,0,0
RRK,1,29102,5983,10519
RRK,other,3522,29,1227
RKB,1,11456,2619,4067
RKB,2,1867,21,83
RKB,other,5625,33,3
RTG,1,15994,2482,5164
RTG,other,8883,4,156
RWE,1,18073,4682,4543
RWE,2,1812,26,20
RJE,1,15000,2005,5663
RJE,2,478,0,0
RJE,other,5703,24,0
RBK,1,6074,1756,2020
RBK,other,3528,12,0
ATQ02,other,2799,0,0
