org_code,type,attendances,breaches,admissions
RF4,1,16552,4513,4958
RF4,2,830,1,0
RF4,other,7900,14,0
R1H,1,27167,5641,8425
R1H,2,881,2,0
R1H,other,14205,53,0
AD913,other,4475,0,0
E84069,other,1851,0,0
RYX,other,18777,212,0
RQM,1,19002,1264,4346
RQM,other,8083,42,0
RJ6,1,6649,1933,2310
RJ6,other,10959,55,0
Y02696,other,977,0,0
RVR,1,12604,1270,3219
RVR,2,477,0,14
RVR,other,1924,0,0
RJ1,1,14011,2405,3606
RJ1,2,870,0,0
RJ1,other,3197,0,0
Y03082,other,3364,179,0
RQX,1,10421,413,1744
RY9,other,3876,1,0
RYJ,1,10011,2200,3476
RYJ,2,4253,30,7
RYJ,other,10265,66,0
RJZ,1,16260,4709,4657
RJZ,other,7002,386,0
Y02973,other,752,0,0
RAX,1,9590,875,2271
RAX,2,1260,6,0
RJ2,1,13361,2605,4855
RJ2,other,11828,263,0
R1K,1,12332,2567,6343
R1K,other,17641,157,0
RP6,2,8291,28,9
RAT,other,5005,30,0
RAP,1,8452,1854,2839
RAP,2,476,3,0
RAP,other,6260,94,0
RAL,1,20167,2936,4551
RAL,other,3413,1,0
RJ7,1,13449,1470,4245
RJ7,other,1412,0,0
RAS,1,5564,1998,2078
RAS,other,8032,62,0
Y03094,other,3356,0,0
Y03218,other,3231,0,0
E84068,other,1785,0,0
RRV,1,12355,1647,2186
Y02147,other,9214,220,0
RKE,1,9082,1072,1392
NL7,other,5908,0,0
8J094,other,2818,0,0
RDD,1,13169,726,2635
RC1,1,6074,623,2052
RC1,other,1004,0,0
M85813,other,3503,0,0
RQ3,1,5285,465,1352
RGT,1,10193,1914,3343
RGT,other,3405,1,17
RFS,1,6081,967,2223
RFS,other,1546,0,0
NQ108,other,2588,1,0
Y03571,other,6220,0,0
RY8,other,5676,0,0
NNJ,other,1748,0,0
RWH,1,9718,1724,3156
RWH,other,4408,6,0
RDE,1,16076,1054,4620
RDE,other,5361,10,134
Y03007,other,2617,0,0
NQ106,other,543,0,0
RLT,1,6953,1140,1329
NEH06,other,1959,0,0
RY4,other,1058,0,0
RGP,1,5966,636,1477
RGP,other,651,5,0
RNQ,1,7872,1026,2796
C82038,other,190,0,0
RY5,other,10217,166,1
NJS05,other,4287,170,0
RC9,1,8867,200,2553
RC9,other,3361,0,0
C82009,other,398,0,0
NLO11,other,550,6,0
NLO09,other,504,5,0
RQ8,1,8516,1150,2378
RQ8,other,402,7,0
RD8,1,7374,1175,1922
RD8,other,4429,7,0
RM1,1,9399,1817,2961
RM1,other,2550,62,0
RGN,1,12219,968,3690
RGN,other,865,0,0
RNS,1,8636,1465,3035
RNS,2,1128,8,0
RNS,other,1393,0,0
NMH01,other,5024,0,0
NR3,other,4646,1,0
RX1,1,13035,4311,4035
RX1,2,1769,15,0
RX1,other,2943,84,0
NLO10,other,2060,54,0
C82010,other,315,0,0
NLO12,other,261,0,0
Y02428,other,1454,0,0
RXK,1,13183,3263,3121
RXK,2,1180,11,35
RXK,other,3022,11,0
RK5,1,8917,680,2944
RK5,other,4149,49,1
RXW,1,9372,3291,2366
RXW,other,1892,33,51
R1D,other,2434,3,0
C83023,other,600,0,0
Y02615,other,6053,0,0
RJC,1,5877,149,1921
RJC,other,697,0,0
RAJ,1,7125,821,2230
RAJ,other,1598,26,290
Y02961,other,2751,0,0
RNA,1,8930,1704,2255
RNA,other,5458,0,0
RQW,1,8868,1318,2522
RCX,1,5572,889,2121
RL4,1,11771,1541,2866
RL4,other,8226,99,0
RWD,1,12288,4319,3847
RWD,other,1708,0,0
RRK,1,30570,7089,10770
RRK,other,3355,30,1468
RKB,1,12519,1937,4407
RKB,2,2033,8,105
RKB,other,6025,78,2
RTG,1,17169,2911,5508
RTG,other,9320,3,143
RWE,1,19610,4602,4872
