org_code,type,attendances,breaches,admissions
RF4,1,19889,3172,4704
RF4,2,643,10,0
RF4,other,2390,14,0
R1H,1,27834,6125,6291
R1H,2,622,10,0
R1H,other,11093,193,0
AD913,other,4617,0,0
RYX,other,18481,141,0
RQM,1,15957,1309,3375
RQM,other,7495,84,0
RJ6,1,6268,1257,1994
RJ6,other,6497,223,0
Y02696,other,1348,0,0
RVR,1,11961,591,3234
RVR,2,454,8,8
RJ1,1,11804,1930,2964
RJ1,2,688,0,0
RJ1,other,2672,5,0
Y03082,other,3627,0,0
RQX,1,10100,582,1631
RY9,other,4644,0,0
RYJ,1,9379,2322,3208
RYJ,2,4126,17,5
RYJ,other,10574,142,0
RJZ,1,16681,3277,4384
RJZ,2,1564,7,0
RJZ,other,4923,192,0
RAX,1,8406,888,1717
RAX,2,836,0,0
RJ2,1,16763,2167,4036
RJ2,other,6822,149,0
R1K,1,11492,4374,4810
R1K,other,16159,182,0
RP6,2,8296,356,13
RAT,other,5202,34,0
RAP,1,14111,2487,2286
Y02973,other,705,0,0
RAL,1,18379,2666,3755
RAL,other,3153,1,0
Y03047,other,1886,0,0
RJ7,1,12834,1353,3688
RJ7,other,1412,0,0
F84747,other,2473,0,0
RAS,1,5331,1739,1877
RAS,other,8218,50,0
Y03094,other,3160,0,0
E84068,other,3429,0,0
RRV,1,10925,998,1981
Y02147,other,9264,0,0
Y03201,other,2498,0,0
RKE,1,8285,734,1290
NL7,other,5518,0,0
8J094,other,2572,0,0
RDD,1,11249,886,2491
RC1,1,6048,301,1842
M85813,other,2960,0,0
RQ3,1,4964,250,930
RJF,1,5241,364,1644
RJF,other,4528,0,6
RGT,1,9373,327,3358
RGT,other,3253,12,25
RFS,1,7495,674,1866
NQ108,other,2595,1,0
RDE,1,7234,1525,2304
RDE,other,4716,0,0
Y03571,other,5591,9,0
RTG,1,11051,1759,3398
RTG,other,4605,20,49
RY8,other,5607,0,0
NNJ,other,2176,0,0
RWH,1,8585,1400,3067
RWH,other,4555,14,0
Y03007,other,2682,0,0
NQ106,other,601,7,0
RLT,1,6653,460,1077
NTPAL,other,2206,0,0
NEH06,other,1960,0,0
RR1,1,18492,2908,5487
RR1,other,3504,36,1167
RY4,other,778,0,0
RGQ,1,7215,494,1927
RGQ,other,482,0,142
RGP,1,6532,437,1255
RGP,other,64,0,0
RNQ,1,7108,1142,2458
C82038,other,313,0,0
RY5,other,14171,83,18
NJS05,other,3985,133,0
RC9,1,8413,152,2307
RC9,other,4225,0,0
C82009,other,275,0,0
NLO11,other,744,4,0
NLO09,other,702,4,0
RQ8,1,7671,775,2192
RQ8,other,381,2,0
RD8,1,7280,828,1275
RD8,other,4559,13,0
Y02652,other,3848,0,0
RM1,1,9539,1047,2546
RM1,other,1056,2,0
RGN,1,11378,1482,3023
RGN,other,688,0,0
RNS,1,8578,1199,2592
RNS,2,1013,6,0
NMH01,other,5739,0,0
NR3,other,5229,383,0
RX1,1,14170,2774,3934
RX1,2,1373,18,0
RX1,other,202,2,0
NLO10,other,3253,73,0
C82010,other,260,0,0
NLO12,other,328,2,0
Y02428,other,2379,0,0
RXK,1,13837,2765,2896
RXK,2,2084,49,29
RXK,other,2774,0,0
RK5,1,8129,470,2460
RK5,other,4343,39,17
RXW,1,9942,1786,2239
RXW,other,1578,0,0
R1D,other,1994,1,0
Y02615,other,5797,0,0
RJC,1,5402,260,1678
RJC,other,655,0,0
RAJ,1,8057,379,2188
Y02470,other,2365,0,0
Y02961,other,3334,0,0
RNA,1,8597,1295,2409
RNA,other,6991,0,0
RQW,1,8164,1714,1767
RCX,1,5270,458,2132
RL4,1,11072,1400,2533
RL4,other,9148,112,0
RWD,1,12538,2230,3341
RRK,1,9427,1632,2846
RKB,1,11589,2309,4097
RKB,2,1790,26,85
RKB,other,2301,5,1
RWE,1,13254,3495,3836
RWE,2,1662,12,5
RWE,other,4623,200,193
RJE,1,14366,2942,4393
RJE,2,378,0,0
RJE,other,4635,19,0
RBK,1,6009,1366,1809
RBK,other,3629,2,0
ATQ02,other,3891,0,0
RWG,1,7580,2648,2487
RWG,other,3749,10,0
RGR,1,5578,268,1908
RWP,1,10048,2904,3100
RWP,other,5411,0,0
RLQ,1,4515,619,1062
RLQ,other,3022,0,0
REM,1,6981,1904,2511
REM,other,6742,0,0
RCF,1,5318,358,1030
RBS,1,4744,172,932
NNF70,other,408,0,0
RFF,1,6841,750,2067
RXL,1,7141,1869,2180
RXL,other,9526,7,0
RMC,1,8222,1625,2014
RMC,other,1112,5,28
RAE,1,11105,1396,2888
NNF09,other,1664,0,0
RY2,other,7439,105,0
RWY,1,12396,609,2721
RW3,1,12255,1561,3498
RW3,2,3409,11,164
RW3,other,9677,28,125
RLN,1,7374,613,2492
RLN,2,2268,28,28
RLN,other,2651,3,0
RJR,1,5720,752,1456
RJR,other,521,25,0
RXP,1,10572,955,3375
RXP,other,7663,0,0
RNN,other,2030,56,0
RP5,1,10535,1273,3204
RP5,other,2681,0,457
RJN,1,3937,934,842
RJN,other,181,0,0
RXR,1,8959,2627,3077
RXR,other,7796,428,26
RR7,1,7288,343,1557
RR7,other,2517,0,0
RCD,1,4029,120,942
RCD,other,887,0,0
NNF99,other,239,0,0
RWA,1,11106,767,3257
RWA,other,1239,1,0
RV9,other,647,0,0
RXN,1,5639,1065,1721
RXN,other,6342,101,277
Y01231,other,2484,0,0
RR8,1,17276,1618,5003
RR8,other,2261,0,0
Y02875,other,4181,0,0
RY1,other,2096,0,0
REP,2,1016,29,118
Y01069,other,3326,0,0
RBT,1,5587,473,1808
RBT,other,1555,0,0
RXF,1,19544,1674,4372
RNL,1,7726,760,1911
RVW,1,3955,241,1490
RVW,other,8466,44,294
RTV,other,1834,0,0
NLO01,other,6693,95,0
RJL,1,11262,2677,2447
RJL,other,1368,1,1
RTF,1,8081,1276,3974
RTF,other,8490,45,35
RW6,1,21960,4821,5169
RW6,other,4201,183,98
RT2,other,3203,1,0
AC008,other,920,0,0
